,left,right,label
0,aaa,osr,1
1,aaz,mqw,1
2,abh,cdx,1
3,abn,uzp,1
4,abq,bbd,1
5,abw,ais,1
6,ace,lyf,1
7,acf,hve,1
8,acq,vrz,1
9,ada,yxn,1
10,ado,jdy,1
11,ady,lts,1
12,aey,iml,1
13,afg,htp,1
14,afn,pxl,1
15,afp,uyr,1
16,agd,mrv,1
17,agm,zcc,1
18,agp,fpd,1
19,agz,mgp,1
20,ahd,hhl,1
21,ahl,nhd,1
22,ahw,xit,1
23,aic,ewj,1
24,aif,xjj,1
25,aih,zmb,1
26,aip,vky,1
27,aje,qyx,1
28,ajl,zsh,1
29,akh,itf,1
30,aki,ard,1
31,ale,fnq,1
32,alj,nod,1
33,all,qmv,1
34,amk,hpe,1
35,amr,yyv,1
36,amv,qpy,1
37,amy,yag,1
38,and,vyw,1
39,ane,jif,1
40,ant,zqd,1
41,aon,rhc,1
42,aos,ere,1
43,aov,fov,1
44,apo,tmh,1
45,apz,qaj,1
46,aqg,yhf,1
47,aqm,hzi,1
48,arh,shd,1
49,arl,oal,1
50,asg,rdu,1
51,asq,hgc,1
52,asv,jbl,1
53,asx,gcl,1
54,atk,qam,1
55,atp,tkn,1
56,ats,zts,1
57,atx,tny,1
58,atz,jjl,1
59,aub,xoe,1
60,auj,qof,1
61,aum,ugo,1
62,avk,nnm,1
63,awe,dge,1
64,awf,eqi,1
65,awg,nls,1
66,awl,ojm,1
67,axd,lve,1
68,axg,xmj,1
69,axh,vub,1
70,axq,wox,1
71,axu,wej,1
72,aye,dzq,1
73,ayf,pjg,1
74,ayh,jsb,1
75,azh,hbd,1
76,azm,vjf,1
77,azn,jqs,1
78,azp,nah,1
79,azt,goe,1
80,bad,qrt,1
81,bbo,svn,1
82,bbx,zpq,1
83,bcz,pve,1
84,bdb,ecr,1
85,bdc,nwn,1
86,bdf,szx,1
87,bdi,sci,1
88,bdj,tfq,1
89,bdq,mam,1
90,bdr,vyh,1
91,bds,ftz,1
92,bea,zdw,1
93,bej,pzx,1
94,bek,sos,1
95,ben,mhx,1
96,beo,wuy,1
97,bfi,pbj,1
98,bfp,piw,1
99,bfu,ejk,1
100,bfz,tdp,1
101,bgo,fhp,1
102,bgq,fjp,1
103,bgr,zqe,1
104,bgt,soi,1
105,bgz,wqp,1
106,bhu,cvj,1
107,bih,waa,1
108,bin,dpt,1
109,bjh,uig,1
110,bjj,rer,1
111,bka,hkp,1
112,bkj,eqp,1
113,bkl,gwl,1
114,blk,ajn,1
115,blo,ozp,1
116,bls,rsl,1
117,bmb,pbz,1
118,bmg,llb,1
119,bml,aev,1
120,bmq,cyo,1
121,bnl,txe,1
122,bnv,qmo,1
123,bod,eqe,1
124,boi,dvv,1
125,bok,jvn,1
126,bov,lvb,1
127,bpk,zoh,1
128,bpm,kaa,1
129,bpp,epo,1
130,bpu,ksl,1
131,bqa,ekh,1
132,bqv,ofq,1
133,bqw,dor,1
134,brc,uds,1
135,brs,ggh,1
136,bsc,ysc,1
137,bsj,uxl,1
138,bte,fvi,1
139,btp,pjb,1
140,btv,klj,1
141,btx,jxz,1
142,btz,syk,1
143,buf,toj,1
144,bui,lwd,1
145,bva,bnq,1
146,bvt,rxb,1
147,bwg,htj,1
148,bwh,uzi,1
149,bww,akj,1
150,bye,xas,1
151,byo,ftv,1
152,byy,vll,1
153,bzk,oij,1
154,bzw,agu,1
155,caa,wih,1
156,caf,yqb,1
157,caq,mwv,1
158,cav,sdb,1
159,caw,zee,1
160,cbd,jck,1
161,cbk,lqv,1
162,cbp,hqx,1
163,cbz,arf,1
164,ccl,pcj,1
165,ccr,sqe,1
166,cdf,xgi,1
167,cdk,duh,1
168,cdl,ryd,1
169,cey,cyg,1
170,cez,rus,1
171,cfm,lns,1
172,cfy,eye,1
173,cfz,moi,1
174,cgk,gjk,1
175,che,ckw,1
176,chi,ese,1
177,chn,mwc,1
178,cht,pkx,1
179,cie,mjs,1
180,cij,vbr,1
181,cim,uzy,1
182,cis,ivs,1
183,cit,ufq,1
184,cjc,dqb,1
185,cjz,xwa,1
186,ckn,wdr,1
187,clf,lim,1
188,clh,dtg,1
189,clj,mwy,1
190,clk,uud,1
191,clo,ejj,1
192,clp,aer,1
193,clt,fvc,1
194,cmd,ptl,1
195,cmw,rcr,1
196,cmy,cic,1
197,cnb,tcw,1
198,cnj,lej,1
199,coa,nxy,1
200,cod,gry,1
201,coo,frl,1
202,cpa,hng,1
203,cpb,pju,1
204,cpf,bgy,1
205,cpo,fey,1
206,cpw,xhc,1
207,cqe,bkz,1
208,cqo,omc,1
209,cqp,tyd,1
210,cqx,xof,1
211,cqz,pfh,1
212,crc,biv,1
213,crr,xmr,1
214,crs,neh,1
215,cry,jfl,1
216,csi,gzf,1
217,csr,gkl,1
218,csx,tqy,1
219,ctc,qqr,1
220,ctj,cca,1
221,ctr,pyn,1
222,ctw,tse,1
223,cud,mpz,1
224,cug,ubp,1
225,cup,gto,1
226,cus,mlb,1
227,cvh,huz,1
228,cvo,dea,1
229,cwk,aea,1
230,cwm,wfx,1
231,cxt,dnm,1
232,cxz,swl,1
233,cye,rzu,1
234,cyi,xja,1
235,czb,dlp,1
236,czi,uhg,1
237,czm,ymh,1
238,czp,mfx,1
239,czr,aan,1
240,czt,cvs,1
241,czz,zfs,1
242,daq,uon,1
243,dbc,hbt,1
244,dbh,qpr,1
245,dbw,jft,1
246,dcb,pvu,1
247,dcf,bnt,1
248,dco,kgm,1
249,dcp,zww,1
250,ddh,mko,1
251,ddz,nyk,1
252,dep,oqv,1
253,dfa,xut,1
254,dff,lpt,1
255,dfi,xvz,1
256,dfo,vik,1
257,dgp,mgk,1
258,dgq,nnc,1
259,dha,rsv,1
260,dho,btm,1
261,dhr,bto,1
262,dic,lma,1
263,dil,ano,1
264,diq,yug,1
265,dis,vpt,1
266,dix,ize,1
267,djm,cpc,1
268,djs,pkh,1
269,djx,ysi,1
270,dml,mxd,1
271,dmm,flv,1
272,dmu,gkj,1
273,dnc,dzj,1
274,dni,bru,1
275,dnv,qrg,1
276,doa,zyf,1
277,dod,tnl,1
278,dok,gsi,1
279,doo,ftg,1
280,dpj,tmg,1
281,dpo,kjl,1
282,dqc,jhu,1
283,dqh,evl,1
284,dqt,nhn,1
285,dqx,upx,1
286,drx,wck,1
287,dsg,dek,1
288,dsx,qnn,1
289,dta,qyh,1
290,dtb,ovy,1
291,dtc,hef,1
292,dtm,jtc,1
293,dtw,iyu,1
294,dty,zkf,1
295,dtz,zyw,1
296,duc,rhv,1
297,dum,djf,1
298,dvw,uux,1
299,dvx,dch,1
300,dwa,tis,1
301,dwp,ort,1
302,dwr,bfv,1
303,dwt,yrh,1
304,dxt,esg,1
305,dxu,mvw,1
306,dye,nva,1
307,dyl,fxu,1
308,dyo,xnj,1
309,dyq,czu,1
310,dzb,yfm,1
311,dzf,ykj,1
312,dzl,ryz,1
313,dzm,muz,1
314,dzo,sbv,1
315,dzt,kfn,1
316,eae,frn,1
317,eah,iwr,1
318,eav,aeq,1
319,ebd,llz,1
320,ebl,vrj,1
321,ebp,hoo,1
322,ebr,onz,1
323,ecd,zra,1
324,ecn,jee,1
325,ecp,qpd,1
326,eea,gxx,1
327,eeb,pjc,1
328,eeg,enx,1
329,eek,hho,1
330,eel,qtp,1
331,eep,cyw,1
332,ees,efl,1
333,eey,jsp,1
334,efh,lqk,1
335,efi,hgz,1
336,efp,ncb,1
337,eft,bzq,1
338,egc,ntn,1
339,egd,mbu,1
340,egm,xzz,1
341,egn,udd,1
342,egq,ydx,1
343,ehm,dwb,1
344,ehn,znx,1
345,ehq,gfk,1
346,ehs,pwx,1
347,ehu,xyp,1
348,ehx,dim,1
349,eid,vdd,1
350,eij,pcb,1
351,ejf,zxc,1
352,ejg,iuh,1
353,eji,jbv,1
354,ejp,fad,1
355,ejr,vas,1
356,ejv,aoi,1
357,eks,dsi,1
358,elf,mif,1
359,elq,ocp,1
360,elv,qak,1
361,elz,olq,1
